que,ans,animal,king,sci,plant,food
지구가 제일 힘들었던 시기는?,고생대,0,0,,0,0
F는 좀 애매한 이유는?,F = ma니까,0,0,1,0,0
me too와 비슷한 말은?,another(어 나도),0,0,0,0,0
이야기를 팔아서 돈을 버는 사람은?,썰(Ssul)매장 주인,0,0,0,0,0
옷감을 울게 만드는 것은?,섬유유(ㅠㅠ)연제,0,0,0,0,0
비빔밥이 항상 남는 이유는?,나물 음식이라서,0,0,0,0,1
피카츄가 담배를 피기 전에 하는 말?,피까,0,0,0,0,0
모든 사람을 일어나게 하는 숫자는?,다섯,0,0,0,0,0
사자가 항상 숙제를 안 하는 이유는?,밀림의 제왕이라서,1,0,0,0,0
다리미가 좋아하는 음식은?,피자,0,0,0,0,0
겨울왕국의 엘사가 놀릴 때 하는 말은?,얼 Let it go 레리,0,0,0,0,0
뽑으면 우는 식물은?,우엉,0,0,0,1,0
오키나와에 가면 살이 찌는 이유는?,5끼 나오니까,0,0,0,0,0
소나무가 삐지면?,칫솔,0,0,0,0,0
우유가 아프면?,앙팡,0,0,0,0,0
소가 불에 타면?,탄소,1,0,0,0,0
오리가 얼면?,언덕,1,0,0,0,0
가장 비싼 새는?,백조,1,0,0,0,0
맥주가 죽기 전에 남긴 말은?,유언비어,0,1,0,0,1
세상에서 가장 가난한 왕은?,최저임금,,,,,
