que,ans,index,my_pick,animal,king,eng,plant,food,english,religion
지구가 제일 힘들었던 시기는?,고생대,0,,,,1,,,,
F는 좀 애매한 이유는?,F = ma니까,1,,,,1,,,1,
me too와 비슷한 말은?,another(어 나도),2,,,,,,,,
이야기를 팔아서 돈을 버는 사람은?,썰(Ssul)매장 주인,3,,,,,,,,
옷감을 울게 만드는 것은?,섬유유(ㅠㅠ)연제,4,,,,,,,,
비빔밥이 항상 남는 이유는?,나물 음식이라서,5,,,,,,1,,
피카츄가 담배를 피기 전에 하는 말?,피까,6,,,,,,,,
모든 사람을 일어나게 하는 숫자는?,다섯,7,,,,,,,,
사자가 항상 숙제를 안 하는 이유는?,밀림의 제왕이라서,8,,,,,,,,
다리미가 좋아하는 음식은?,피자,9,,,,,,1,,
겨울왕국의 엘사가 놀릴 때 하는 말은?,얼 Let it go 레리,10,,,,,,,1,
뽑으면 우는 식물은?,우엉,11,1,,,,1,,,
오키나와에 가면 살이 찌는 이유는?,5끼 나오니까,12,,,,,,,,
소나무가 삐지면?,칫솔,13,,,,,,,,
우유가 아프면?,앙팡,14,,,,,,,,
소가 불에 타면?,탄소,15,,1,,,,,,
오리가 얼면?,언덕,16,,1,,,,,,
가장 비싼 새는?,백조,17,,1,,,,,,
맥주가 죽기 전에 남긴 말은?,유언비어,18,,,,,,1,,
세상에서 가장 가난한 왕은?,최저임금,19,,,1,,,,,
칼이 정색하면?,검정색,20,,,,,,,,
반성문을 영어로 하면?,글로벌,21,,,,,,,,
새우가 주인공인 드라마는?,대하드라마,22,,1,,,,,,
화장실에서 금방 나온 사람은?,일본사람,23,,,,,,,,
회를 가장 잘 뜨는 곳은?,회전문,24,,,,,,1,,
소금의 유통기한은?,천일염,25,,,,,,1,,
왕이 궁에 가기 싫을 때 하는 말은?,궁시렁궁시렁,26,,,1,,,,,
아마존에 살고 있는 사람의 이름은?,아마 존?,27,,,,,,,,
신발이 화가 나면?,신발 끈,28,,,,,,,,
고등학생이 싫어하는 나무는?,야자나무,29,,,,,1,,,
세상에서 가장 억울한 도형은?,원통,30,,,,1,,,,
세상에서 가장 지루한 중학교?,로딩중,31,,,,,,,,
정말 큰 학은?,대학,32,,1,,,,,,
어부들이 싫어하는 가수는?,배철수,33,,,,,,,,
얼음이 죽으면?,다이빙,34,,,,,,,,
이탈리아의 날씨는?,습하겟디,35,,,,,,1,,
누룽지를 영어로?,바비브라운,36,,,,,,1,,
가는 말이 고우면 오는 말은?,Come,37,,,,,,,1,
높은 곳에서 새끼를 낳는 동물은?,하이에나,38,,1,,,,,,
딸기가 도망가면?,딸기쨈,39,,,,,,1,,
길 가다가 음식을 주운 것을 3자로?,푸드 득,40,,,,,,,,
옥수수가 시험을 보는 것을 4자로?,콘테스트,41,,,,,1,1,,
칼로 산을 두 개로 자르면?,두산베어스,42,,,,,,,,
낙엽이 애교를 부리면서 한 말?,나기엽?,43,,,,,,,,
물리치료를 받는 이유는?,병을 물리치료구,44,,,,,,,,
부침개를 먹으면 살이 찌는 이유는?,전 부처먹기 때문,45,,,,,,1,,
세상에서 가장 놀라운 거품은?,언빌리버블,46,,,,,,,,
모내기 기계가 고장이 나면?,심기 불편,47,,,,,,,,
간첩이 동물원에 가면 찾는 새는?,공작새,48,,1,,,,,,
오래된 우유를 다른 말로?,연세우유,49,,,,,,1,,
모태솔로를 영어로?,없데이트,50,,,,,,,,
돼지고기가 금값인 이유?,돼지가 '한 돈' 가격이라서,51,,1,,,,1,,
해산물이 '부패'하는 이유는?,비리니까,52,,,,,,1,,
옛날 성균관에서 불을 밝힐 때 쓰던 초는?,성균관's candle,53,,,,,,,1,
횟집 가면 이쁜 애들한테만 맛있는 것을 주는 이유는?,사심이 들어가서,54,,,,,,,,
도박중독자들이 물을 어떻게 마실까?,홀짝홀짝,55,,,,,,,,
정의가 차가운 이유는?,얼음(just ice)이라서,56,,,,,,,1,
체형이 작은 사람들한테 검은색 옷이 안 어울리는 이유는?,검은색 옷은 다 크(dark)거든요,57,,,,,,,1,
폐하가 가장 높은 존재인 이유는?,더 높은 사람들은 폐위됐기 때문,58,,,1,,,,,
인도는 지금 몇 시일까?,"4시, 인도네시야~",59,,,,,,,,
호랑이가 운전 중에 토끼를 보고 한 말은?,타이거,60,,1,,,,,,
세상에서 가장 빠른 닭은?,후다닥,61,,1,,,,,,
쥐가 네 마리 모이면?,쥐포,62,,1,,,,,,
오른손으로는 들어도 왼손으로는 들지 못하는 것은?,왼손,63,,,,,,,,
가장 뜨거운 전화는?,화상전화,64,,,,,,,,
포도가 자기소개하면?,포도당,65,,,,,1,1,,
푸른 소가 용을 구하면?,청소 용구함,66,,1,,,,,,
어린 물고기는?,영어,67,,1,,,,,,
과소비가 심한 동물은?,사자,68,,1,,,,,,
마녀가 높이 올라가면?,위치 에너지가 증가함,69,,,,1,,,,
사슴의 눈이 좋으면?,굿 아이디어,70,,1,,,,,1,
형을 정말 좋아하는 동생은?,형광팬,71,,,,,,,,
사자를 잡아다 끓인 국은?,동물의 왕국,72,,1,,,,,,
곰은 사과를 어떻게 먹을까?,베어먹음,73,,1,,,,,1,
가장 기분 좋은 바람은?,신바람,74,,,,,,,,
세상에서 가장 행복한 바다는?,사랑해,75,,,,,,,,
마부가 말이 몇 필인지 세고 있으면 안좋은 이유는?,말세니까,76,,1,,,,,,
입이 S자로 되어 있으면?,EBS,77,,,,,,,,
세상에서 가장 팔힘이 센 사람은?,암스트롱,78,,,,,,,,
전화로 세운 건물은?,콜로세움,79,,,,,,,,
세상에서 가장 외로운 왕은?,솔로몬,80,,,1,,,,,
학생들이 가장 싫어하는 피자는?,책 피자,81,,,,,,,,
고양이가 죽어서 지옥에 가면?,헬로키티,82,,1,,,,,,
신하가 왕한테 공 던지면서 하는 말은?,송구하옵니다,83,,,1,,,,,
비가 LA로 갈 예정이다'를 4자로?,LA갈비,84,,,,,,,,
도둑질하러 가는 걸음걸이를 4자로?,털레털레,85,,,,,,,,
"코끼리 2마리가 서로 싸워, 둘 다 코가 떨어져 나가면?",끼리끼리,86,,1,,,,,,
별 중에 가장 슬픈 별은?,이별,87,,,,,,,,
아몬드가 죽으면?,다이아몬드,88,,,,,,,,
그네에 탄 아베를 밀어줄 때 하는 말은?,자 민당,89,1,,,,,,,
슈퍼주니어 신동 옆에 있는 사람은?,신동엽,90,,,,,,,,
항상 흑심을 품고 있는 것은?,연필,91,,,,,,,,
매일 이상한 것을 보는 사람은?,치과의사,92,,,,,,,,
주방장들이 가장 싫어하는 도시는?,상해,93,,,,,,,,
담배가 경마장에 간 이유는?,말보로,94,,,,,,,,
이씨를 영어로 하면?,알 수 없음. 미스터리(mister lee)니까,95,,,,,,,1,
수돗물인데 알고 보니 사실 가짜인 이유는?,pseudo물,96,1,,,,,,1,
세상에서 가장 빨리 만들어지는 떡은?,헐레벌떡,97,,,,,,1,,
신경통 환자가 가장 싫어하는 악기는?,비올라,98,,,,,,,,
웃으면서 인사하다'를 3자로?,하이킥,99,,,,,,,,
비가 오는 날에는 환자가 없다'를 4자로?,유비무환,100,,,,,,,,
도둑이 훔친 돈을 뭐라고 할까?,슬그머니,101,,,,,,,,
달걀을 팔고 받은 돈은?,에그머니,102,,,,,,1,,
꽃가게 주인이 가장 싫어하는 도시는?,시드니,103,,,,,1,,,
화장실에 다녀온 원숭이를 5자로?,일본원숭이,104,,1,,,,,,
세상에서 가장 긍정적인 동물은?,돼지,105,,1,,,,,,
밤에 성시경이 2명 있으면?,야간투시경,106,,,,,,,,
왕과 작별 인사를 뭐라고 할까?,바이킹,107,,,1,,,,,
3월과 9월에 대학생이 강한 이유는?,개강해서,108,,,,,,,,
백범 김구 선생이 여자를 때리면?,여자친구,109,,,,,,,,
